lane_name,origin_city,destination_city,baseline_distance_miles,departure_date,departure_hour,day_of_week,actual_miles_driven,fuel_consumed_gallons,fuel_cost_total,mpg_achieved,cost_per_mile,drive_time_hours,avg_speed_mph,weather_conditions,delay_hours,load_weight_lbs,price_per_gallon
New York-Philadelphia,New York,Philadelphia,95.0,2025-07-04,22,Friday   ,97.44,16.07,60.65,6.06,0.6224,1.51,64.59,Fog,1.56,28447,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-24,23,Thursday ,168.83,31.82,120.75,5.31,0.7152,2.8,60.4,Snow,2.16,26858,
Boston-New York,Boston,New York,215.0,2025-10-12,9,Sunday   ,213.42,37.92,141.65,5.63,0.6637,3.6,59.22,Rain,0.28,40675,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-08-27,23,Wednesday,114.52,18.47,68.3,6.2,0.5964,1.84,62.39,Clear,1.12,43281,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-27,13,Saturday ,78.53,12.77,46.78,6.15,0.5957,1.19,65.97,Clear,0.39,39083,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-17,8,Friday   ,171.84,28.33,102.17,6.07,0.5946,2.69,63.76,Cloudy,1.96,35062,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-23,12,Thursday ,384.83,66.18,292.59,5.81,0.7603,5.8,66.37,Clear,2.44,37293,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-07,6,Monday   ,258.55,41.8,156.04,6.19,0.6035,4.33,59.68,Clear,2.07,43334,3.733
New York-Philadelphia,New York,Philadelphia,95.0,2025-09-13,0,Saturday ,97.64,20.17,76.07,4.84,0.7791,1.58,61.73,Fog,1.91,30636,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-07-24,5,Thursday ,721.7,105.92,401.95,6.81,0.5569,11.69,61.75,Clear,0.75,30470,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-18,0,Thursday ,88.64,14.58,65.94,6.08,0.7439,1.5,58.93,Clear,0.62,35036,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-09-11,11,Thursday ,181.8,37.27,139.92,4.88,0.7696,3.08,59.05,Fog,0.35,42547,
Dallas-Houston,Dallas,Houston,239.0,2025-07-22,14,Tuesday  ,243.38,36.76,146.14,6.62,0.6005,3.78,64.41,Clear,0.33,41931,
Seattle-Portland,Seattle,Portland,173.0,2025-07-01,7,Tuesday  ,175.21,25.19,111.35,6.96,0.6355,2.94,59.5,Clear,1.11,31583,
New York-Philadelphia,New York,Philadelphia,95.0,2025-08-14,0,Thursday ,94.93,14.73,55.33,6.44,0.5829,1.59,59.54,Partly Cloudy,0.35,32510,
Seattle-Portland,Seattle,Portland,173.0,2025-08-30,21,Saturday ,170.52,28.98,129.26,5.88,0.758,2.74,62.32,Clear,2.16,42269,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-18,5,Thursday ,249.74,57.03,211.59,4.38,0.8472,3.95,63.19,Snow,0.57,44545,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-07-29,0,Tuesday  ,359.12,72.32,275.68,4.97,0.7677,6.02,59.63,Snow,0.25,32124,
New York-Philadelphia,New York,Philadelphia,95.0,2025-09-12,12,Friday   ,97.75,17.53,66.12,5.58,0.6764,1.5,64.99,Partly Cloudy,2.0,44152,
Boston-New York,Boston,New York,215.0,2025-08-13,11,Wednesday,219.6,39.94,150.05,5.5,0.6833,3.68,59.75,Fog,2.15,33174,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-19,21,Tuesday  ,300.72,54.06,240.85,5.56,0.8009,4.94,60.87,Clear,2.24,44773,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-07-24,15,Thursday ,533.05,90.75,342.13,5.87,0.6418,9.12,58.45,Partly Cloudy,1.63,41589,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-20,11,Wednesday,348.29,69.65,259.99,5.0,0.7465,5.22,66.78,Fog,1.65,25859,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-08-27,16,Wednesday,729.6,127.8,472.6,5.71,0.6478,11.13,65.54,Fog,1.96,33651,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-25,15,Monday   ,207.76,29.14,108.57,7.13,0.5226,3.22,64.49,Clear,1.18,35926,3.726
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-06-25,23,Wednesday,113.15,16.77,58.69,6.75,0.5187,1.95,58.11,Clear,1.97,26363,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-28,18,Sunday   ,80.74,12.93,47.37,6.24,0.5867,1.34,60.13,Clear,1.08,40140,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-14,15,Monday   ,167.96,29.57,110.4,5.68,0.6573,2.71,61.87,Rain,1.46,43808,3.733
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-19,22,Tuesday  ,170.76,34.46,127.57,4.96,0.7471,2.64,64.64,Fog,1.57,41628,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-07-24,11,Thursday ,369.62,70.48,320.13,5.24,0.8661,6.06,60.95,Rain,0.76,42882,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-08-06,20,Wednesday,112.26,17.08,64.78,6.57,0.5771,1.77,63.57,Clear,0.46,30132,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-07-18,23,Friday   ,532.41,107.58,399.46,4.95,0.7503,8.81,60.44,Fog,2.22,39948,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-08-18,3,Monday   ,90.64,15.12,67.35,5.99,0.743,1.39,65.35,Cloudy,2.3,34115,4.455
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-17,21,Wednesday,250.29,48.79,181.01,5.13,0.7232,4.04,61.9,Fog,1.18,40018,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-31,8,Sunday   ,193.49,33.4,123.51,5.79,0.6383,3.21,60.29,Cloudy,2.02,41852,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-14,10,Tuesday  ,173.25,27.59,99.49,6.28,0.5743,2.74,63.22,Rain,1.48,36637,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-09-13,15,Saturday ,258.32,40.85,153.33,6.32,0.5936,3.94,65.62,Clear,0.02,31135,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-14,18,Tuesday  ,388.25,60.09,268.24,6.46,0.6909,5.81,66.81,Cloudy,0.01,33327,
Dallas-Houston,Dallas,Houston,239.0,2025-09-24,6,Wednesday,248.17,52.79,193.44,4.7,0.7795,4.23,58.73,Snow,0.07,41156,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-10-02,3,Thursday ,174.44,32.81,122.4,5.32,0.7017,2.94,59.27,Fog,0.47,28139,
Boston-New York,Boston,New York,215.0,2025-10-26,23,Sunday   ,216.97,41.32,151.84,5.25,0.6998,3.4,63.87,Fog,0.18,41127,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-25,18,Saturday ,85.03,13.91,51.12,6.11,0.6012,1.3,65.41,Clear,1.57,27763,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-25,19,Monday   ,176.51,36.07,133.39,4.89,0.7557,2.64,66.87,Fog,0.24,38245,3.698
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-01,3,Friday   ,40.59,7.61,29.02,5.33,0.715,0.66,61.47,Fog,0.4,34367,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-06,22,Wednesday,40.66,7.5,28.54,5.42,0.7019,0.69,58.68,Fog,0.13,41916,
San Antonio-Austin,San Antonio,Austin,80.0,2025-07-23,5,Wednesday,80.04,14.24,56.61,5.62,0.7073,1.23,65.21,Clear,0.18,40366,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-08-11,11,Monday   ,110.45,18.05,67.65,6.12,0.6125,1.68,65.79,Partly Cloudy,1.21,42855,3.747
Tampa-Orlando,Tampa,Orlando,84.0,2025-07-25,21,Friday   ,86.02,14.62,55.84,5.88,0.6492,1.47,58.61,Fog,1.27,33244,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-09-14,21,Sunday   ,368.16,82.06,372.0,4.49,1.0104,5.86,62.8,Snow,1.6,28531,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-25,17,Saturday ,343.88,53.19,189.56,6.47,0.5512,5.81,59.22,Clear,1.66,41283,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-06-28,16,Saturday ,193.32,29.3,102.56,6.6,0.5305,3.07,62.91,Clear,1.13,38641,
Dallas-Houston,Dallas,Houston,239.0,2025-06-27,18,Friday   ,249.28,44.59,166.1,5.59,0.6663,4.08,61.14,Clear,0.47,43025,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-10-20,23,Monday   ,184.75,28.77,102.52,6.42,0.5549,3.17,58.28,Cloudy,1.15,41274,3.564
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-12,19,Saturday ,248.96,44.78,167.15,5.56,0.6714,3.99,62.41,Fog,1.16,44640,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-10,4,Wednesday,112.5,18.14,68.1,6.2,0.6053,1.88,59.96,Clear,0.33,26959,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-31,12,Thursday ,333.57,51.55,195.6,6.47,0.5864,5.05,66.07,Partly Cloudy,2.32,40081,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-30,4,Wednesday,341.94,79.63,302.13,4.29,0.8836,5.67,60.27,Snow,0.48,41653,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-09-26,8,Friday   ,738.85,130.58,487.21,5.66,0.6594,12.71,58.14,Cloudy,2.21,42014,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-14,19,Monday   ,115.22,18.71,69.86,6.16,0.6063,1.74,66.05,Clear,0.03,25486,3.733
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-09-23,18,Tuesday  ,734.0,142.32,531.0,5.16,0.7234,11.35,64.66,Fog,1.06,43937,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-14,12,Sunday   ,526.74,86.32,324.03,6.1,0.6152,8.47,62.15,Clear,0.42,29228,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-28,3,Thursday ,192.31,31.22,115.44,6.16,0.6003,3.0,64.02,Cloudy,0.96,37951,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-05,15,Friday   ,112.79,17.76,66.11,6.35,0.5861,1.72,65.53,Cloudy,1.35,33642,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-24,6,Friday   ,348.65,59.4,211.7,5.87,0.6072,5.37,64.87,Clear,2.2,31944,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-09-30,6,Tuesday  ,714.6,112.06,418.08,6.38,0.5851,12.26,58.29,Clear,0.07,36200,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-25,8,Saturday ,82.7,19.2,70.57,4.31,0.8533,1.27,65.23,Snow,0.15,43679,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-16,22,Thursday ,87.96,17.09,76.3,5.15,0.8674,1.36,64.63,Fog,2.14,37651,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-10,10,Sunday   ,81.45,12.44,61.55,6.55,0.7557,1.3,62.85,Clear,1.05,35040,
New York-Philadelphia,New York,Philadelphia,95.0,2025-08-30,4,Saturday ,94.58,14.43,53.78,6.55,0.5686,1.61,58.65,Clear,1.03,25516,
San Antonio-Austin,San Antonio,Austin,80.0,2025-10-16,16,Thursday ,79.86,13.2,51.18,6.05,0.6409,1.36,58.82,Cloudy,2.05,41982,
Seattle-Portland,Seattle,Portland,173.0,2025-07-05,6,Saturday ,175.06,25.92,114.61,6.75,0.6547,2.92,60.05,Clear,0.95,26720,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-10,15,Friday   ,115.65,18.36,67.38,6.3,0.5826,1.77,65.36,Clear,0.19,27356,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-07-12,16,Saturday ,537.97,83.03,304.39,6.48,0.5658,8.16,65.92,Clear,1.74,44019,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-21,15,Tuesday  ,116.64,20.76,73.99,5.62,0.6343,1.75,66.81,Clear,0.96,40428,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-07-08,6,Tuesday  ,85.89,14.7,65.57,5.84,0.7634,1.37,62.7,Cloudy,0.6,40950,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-08-24,10,Sunday   ,258.11,42.1,155.85,6.13,0.6038,3.95,65.3,Cloudy,0.95,27770,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-16,5,Tuesday  ,304.64,52.21,236.16,5.83,0.7752,4.67,65.25,Clear,1.44,29795,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-06-25,2,Wednesday,741.73,130.93,458.25,5.67,0.6178,12.36,60.03,Fog,1.46,27631,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-09-20,7,Saturday ,116.61,22.59,83.82,5.16,0.7188,1.9,61.51,Snow,1.47,30791,
Dallas-Houston,Dallas,Houston,239.0,2025-06-30,6,Monday   ,236.82,39.16,190.56,6.05,0.8047,3.89,60.87,Rain,1.08,29131,4.866
San Antonio-Austin,San Antonio,Austin,80.0,2025-07-14,6,Monday   ,81.65,11.94,47.38,6.84,0.5803,1.33,61.5,Cloudy,2.39,26039,3.969
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-10-22,4,Wednesday,706.92,111.32,396.73,6.35,0.5612,11.95,59.14,Clear,0.57,26926,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-07-27,10,Sunday   ,714.07,162.18,615.48,4.4,0.8619,10.72,66.6,Snow,0.15,40579,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-02,10,Thursday ,89.62,15.81,71.65,5.67,0.7995,1.54,58.29,Clear,0.39,43870,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-06,16,Wednesday,83.82,16.07,79.48,5.22,0.9482,1.37,61.07,Snow,0.38,42711,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-09-02,1,Tuesday  ,342.83,55.22,205.51,6.21,0.5995,5.75,59.6,Clear,0.76,44276,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-06-30,17,Monday   ,89.5,16.01,70.78,5.59,0.7908,1.46,61.38,Fog,1.85,25369,4.421
San Antonio-Austin,San Antonio,Austin,80.0,2025-07-09,2,Wednesday,78.5,10.95,37.03,7.17,0.4717,1.3,60.55,Cloudy,1.64,39917,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-19,14,Friday   ,82.14,11.81,58.7,6.96,0.7146,1.33,61.76,Partly Cloudy,1.39,28265,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-26,13,Tuesday  ,190.59,29.09,107.59,6.55,0.5645,3.22,59.25,Clear,0.7,25947,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-06,22,Monday   ,117.05,18.77,68.89,6.24,0.5886,1.92,61.01,Clear,0.42,34668,3.67
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-17,3,Thursday ,210.48,37.7,143.0,5.58,0.6794,3.24,64.92,Rain,1.31,30522,
Seattle-Portland,Seattle,Portland,173.0,2025-09-28,19,Sunday   ,171.91,27.04,122.33,6.36,0.7116,2.8,61.43,Rain,1.95,26934,
Seattle-Portland,Seattle,Portland,173.0,2025-08-01,5,Friday   ,175.5,28.63,130.15,6.13,0.7416,2.93,59.8,Partly Cloudy,0.88,33473,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-10-25,17,Saturday ,250.48,45.71,162.93,5.48,0.6505,4.26,58.86,Snow,1.3,34748,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-07-27,22,Sunday   ,334.66,57.52,218.28,5.82,0.6522,5.42,61.76,Rain,0.29,30789,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-08-11,15,Monday   ,166.37,28.11,105.31,5.92,0.633,2.67,62.28,Partly Cloudy,0.04,42087,3.747
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-17,22,Sunday   ,83.45,15.16,56.96,5.5,0.6826,1.28,65.05,Clear,0.19,42775,
Memphis-Nashville,Memphis,Nashville,211.0,2025-07-14,16,Monday   ,211.04,38.57,143.97,5.47,0.6822,3.17,66.6,Cloudy,1.93,28418,3.733
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-08-15,2,Friday   ,207.13,36.73,138.01,5.64,0.6663,3.42,60.51,Cloudy,1.22,43661,
Charlotte-Charleston,Charlotte,Charleston,208.0,2025-07-27,0,Sunday   ,212.99,39.91,152.51,5.34,0.716,3.19,66.72,Rain,0.21,31975,
New York-Philadelphia,New York,Philadelphia,95.0,2025-10-20,18,Monday   ,97.29,13.71,50.38,7.1,0.5178,1.57,61.96,Cloudy,2.37,27559,3.675
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-09-22,21,Monday   ,175.4,27.57,102.85,6.36,0.5864,2.97,59.02,Clear,0.68,37061,3.731
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-25,7,Thursday ,79.66,13.17,48.26,6.05,0.6058,1.33,60.06,Clear,1.9,29289,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-10-05,2,Sunday   ,86.63,13.45,60.95,6.44,0.7036,1.31,66.05,Cloudy,0.34,44641,
Boston-New York,Boston,New York,215.0,2025-08-13,0,Wednesday,221.51,38.88,146.06,5.7,0.6594,3.43,64.58,Rain,0.22,35260,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-29,11,Tuesday  ,166.29,25.86,98.12,6.43,0.5901,2.81,59.09,Clear,0.08,25692,
Memphis-Nashville,Memphis,Nashville,211.0,2025-08-18,17,Monday   ,217.04,36.15,133.82,6.0,0.6166,3.24,66.95,Rain,2.5,29149,3.702
Seattle-Portland,Seattle,Portland,173.0,2025-10-27,14,Monday   ,175.41,37.29,167.24,4.7,0.9534,2.73,64.34,Snow,0.54,38011,4.485
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-06-25,16,Wednesday,40.6,6.92,24.22,5.87,0.5966,0.67,60.4,Clear,0.66,36249,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-07-17,20,Thursday ,183.16,29.67,110.76,6.17,0.6047,3.02,60.65,Clear,1.52,44461,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-22,4,Friday   ,332.63,52.97,196.1,6.28,0.5895,5.61,59.29,Clear,2.31,37097,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-06-26,10,Thursday ,39.47,6.2,21.68,6.37,0.5493,0.62,63.76,Rain,1.09,26814,
Dallas-Houston,Dallas,Houston,239.0,2025-08-19,5,Tuesday  ,247.67,41.79,152.24,5.93,0.6147,4.17,59.41,Clear,1.97,38018,
Tampa-Orlando,Tampa,Orlando,84.0,2025-09-24,9,Wednesday,85.96,13.49,50.51,6.37,0.5876,1.3,66.27,Clear,0.49,40739,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-08,6,Wednesday,299.11,44.29,199.27,6.75,0.6662,4.74,63.1,Cloudy,0.97,39586,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-10-09,12,Thursday ,742.81,145.09,532.49,5.12,0.7169,11.1,66.91,Rain,2.2,35223,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-10-13,22,Monday   ,546.21,76.07,278.26,7.18,0.5094,9.17,59.6,Partly Cloudy,0.92,30886,3.658
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-08-13,9,Wednesday,720.73,110.64,414.58,6.51,0.5752,11.72,61.51,Cloudy,0.95,33353,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-29,0,Friday   ,186.14,31.95,118.14,5.83,0.6347,2.81,66.15,Cloudy,1.41,43576,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-08-25,20,Monday   ,116.11,21.04,77.82,5.52,0.6702,1.88,61.9,Clear,0.64,42938,3.698
San Antonio-Austin,San Antonio,Austin,80.0,2025-07-06,12,Sunday   ,80.32,12.52,60.92,6.42,0.7585,1.36,58.89,Partly Cloudy,1.58,34357,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-20,23,Saturday ,522.98,87.34,325.07,5.99,0.6216,8.95,58.43,Clear,2.32,42681,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-07-18,2,Friday   ,369.92,75.49,339.56,4.9,0.9179,6.1,60.64,Fog,1.09,39222,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-07-13,9,Sunday   ,305.29,56.35,251.42,5.42,0.8235,4.72,64.72,Rain,1.6,32625,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-16,22,Thursday ,336.81,48.08,173.37,7.01,0.5147,5.52,61.05,Clear,0.07,32244,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-08,13,Friday   ,79.01,11.96,59.14,6.61,0.7485,1.22,64.51,Cloudy,0.93,41135,
Memphis-Nashville,Memphis,Nashville,211.0,2025-07-16,14,Wednesday,216.81,45.09,168.34,4.81,0.7764,3.32,65.22,Snow,1.85,27205,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-25,14,Monday   ,189.07,32.47,120.07,5.82,0.6351,3.24,58.41,Clear,1.28,25790,3.698
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-06-28,12,Saturday ,173.87,28.16,98.55,6.17,0.5668,2.95,58.98,Clear,0.08,34934,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-30,15,Tuesday  ,516.92,83.0,309.76,6.23,0.5992,8.37,61.76,Partly Cloudy,2.32,42712,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-05,18,Sunday   ,84.06,14.48,54.31,5.81,0.6461,1.42,59.38,Partly Cloudy,2.36,43385,
Los Angeles-Phoenix,Los Angeles,Phoenix,373.0,2025-10-16,5,Thursday ,388.06,66.73,297.88,5.82,0.7676,6.38,60.86,Clear,1.34,42470,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-08-21,23,Thursday ,346.1,58.97,218.31,5.87,0.6308,5.77,59.94,Clear,1.37,40239,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-09,22,Wednesday,249.46,42.93,160.27,5.81,0.6425,3.82,65.24,Clear,2.39,44638,
San Antonio-Austin,San Antonio,Austin,80.0,2025-08-19,5,Tuesday  ,80.53,12.62,45.97,6.38,0.5708,1.33,60.66,Partly Cloudy,0.59,30803,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-08-08,1,Friday   ,186.57,31.41,119.13,5.94,0.6385,3.14,59.49,Fog,0.2,39150,
Miami-Jacksonville,Miami,Jacksonville,345.0,2025-08-07,14,Thursday ,355.81,58.7,223.47,6.06,0.6281,5.41,65.82,Clear,2.16,32417,
New York-Philadelphia,New York,Philadelphia,95.0,2025-10-26,6,Sunday   ,97.14,15.77,57.96,6.16,0.5967,1.54,62.89,Partly Cloudy,0.08,42604,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-08-09,11,Saturday ,297.19,52.98,240.52,5.61,0.8093,4.94,60.22,Fog,0.74,43684,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-09-20,10,Saturday ,171.6,26.3,97.57,6.52,0.5686,2.72,63.11,Partly Cloudy,0.91,39307,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-06-29,0,Sunday   ,715.11,101.98,356.92,7.01,0.4991,12.04,59.37,Partly Cloudy,0.19,37909,
Minneapolis-Milwaukee,Minneapolis,Milwaukee,337.0,2025-10-17,22,Friday   ,337.65,73.36,264.52,4.6,0.7834,5.68,59.43,Snow,2.12,39139,
Tampa-Orlando,Tampa,Orlando,84.0,2025-10-23,18,Thursday ,83.89,18.38,67.56,4.56,0.8053,1.35,61.92,Snow,0.53,36931,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-01,8,Monday   ,547.86,81.62,306.32,6.71,0.5591,8.29,66.12,Cloudy,0.05,37906,3.753
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-08,9,Friday   ,86.01,17.87,68.04,4.81,0.7911,1.31,65.84,Snow,1.56,25649,
Detroit-Cleveland,Detroit,Cleveland,169.0,2025-07-22,10,Tuesday  ,173.77,27.01,102.49,6.43,0.5898,2.98,58.27,Clear,0.76,37283,
San Francisco-Sacramento,San Francisco,Sacramento,87.0,2025-09-24,18,Wednesday,88.93,13.26,60.01,6.71,0.6748,1.41,63.14,Clear,1.08,34288,
Columbus-Pittsburgh,Columbus,Pittsburgh,185.0,2025-09-09,1,Tuesday  ,187.41,34.78,130.58,5.39,0.6968,3.13,59.93,Snow,1.12,31453,
Seattle-Portland,Seattle,Portland,173.0,2025-08-26,6,Tuesday  ,175.93,32.01,142.82,5.5,0.8118,2.84,62.0,Fog,1.85,29534,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-25,14,Thursday ,300.94,57.99,262.34,5.19,0.8717,4.5,66.92,Fog,0.69,39993,
Tampa-Orlando,Tampa,Orlando,84.0,2025-08-04,2,Monday   ,83.27,12.61,48.0,6.6,0.5764,1.3,64.24,Clear,2.03,28758,3.807
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-09-30,18,Tuesday  ,296.53,52.93,239.9,5.6,0.809,4.46,66.55,Rain,0.17,25771,
San Antonio-Austin,San Antonio,Austin,80.0,2025-09-14,21,Sunday   ,80.2,13.03,51.29,6.16,0.6395,1.26,63.52,Clear,0.17,26355,
Denver-Salt Lake City,Denver,Salt Lake City,525.0,2025-09-27,10,Saturday ,527.7,82.36,308.59,6.41,0.5848,8.88,59.41,Clear,0.94,30825,
Baltimore-Washington DC,Baltimore,Washington DC,40.0,2025-08-16,12,Saturday ,40.6,8.68,32.63,4.68,0.8037,0.65,62.22,Snow,1.4,33399,
Chicago-Atlanta,Chicago,Atlanta,715.0,2025-10-01,1,Wednesday,703.97,115.1,429.42,6.12,0.61,11.89,59.19,Clear,0.07,31727,
Dallas-Houston,Dallas,Houston,239.0,2025-07-01,8,Tuesday  ,244.43,36.78,178.98,6.65,0.7322,3.85,63.47,Clear,0.83,36029,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-11,20,Friday   ,115.2,18.99,70.89,6.07,0.6154,1.72,66.93,Clear,1.09,27443,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-10-12,10,Sunday   ,110.62,17.42,63.92,6.35,0.5778,1.76,62.81,Partly Cloudy,1.59,27098,
Phoenix-Las Vegas,Phoenix,Las Vegas,297.0,2025-10-17,15,Friday   ,304.2,54.38,242.77,5.59,0.7981,4.96,61.29,Cloudy,2.46,40510,
Indianapolis-Cincinnati,Indianapolis,Cincinnati,112.0,2025-07-04,8,Friday   ,115.87,23.99,89.13,4.83,0.7692,1.76,65.83,Fog,1.04,30628,
Kansas City-St Louis,Kansas City,St Louis,248.0,2025-07-15,15,Tuesday  ,249.1,43.42,162.09,5.74,0.6507,4.27,58.28,Fog,2.46,29911,
Memphis-Nashville,Memphis,Nashville,211.0,2025-09-18,15,Thursday ,217.38,34.58,128.29,6.29,0.5902,3.44,63.12,Clear,1.82,39809,
